SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,DAY,SPOOL,SUBST,LISTSUB,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,0.96,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,17.65,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,17.16,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,16.24,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,18.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,6.16,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,-0.36,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,PREC,DB,113.3,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,PREC,DB,87,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,PREC,DB,199.9,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,PREC,DB,26.7,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,PREC,DB,36,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,PREC,DB,18.6,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,PREC,DB,121.3,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,PREC,DB,38.9,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,PREC,DB,249.5,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,PREC,DB,96.5,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,PREC,DB,168.5,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,PREC,DB,22.2,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,PREC,DB,95.6,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,PREC,DB,65.5,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,PREC,DB,129.2,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,PREC,DB,94.2,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,PREC,DB,33.9,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,PREC,DB,6.4,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,PREC,DB,161,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,PREC,DB,30.5,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,PREC,DB,208.1,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,PREC,DB,42.3,mm,,SZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,PREC,DB,347.5,mm,,S
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,PREC,DB,32.2,mm,,SZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200201,,1,TEMP,DB,0.54,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200201,,1,TEMP,DB,3.19,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200201,,1,TEMP,DB,-12.1,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200201,,1,TEMP,DB,16.3,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200201,,1,TEMP,DB,-2.13,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200202,,1,TEMP,DB,1.48,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200202,,1,TEMP,DB,4.25,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200202,,1,TEMP,DB,7.03,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200202,,1,TEMP,DB,15.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200202,,1,TEMP,DB,-7.7,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200203,,1,TEMP,DB,2.1,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200203,,1,TEMP,DB,4.83,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200203,,1,TEMP,DB,7.5,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200203,,1,TEMP,DB,16.3,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200203,,1,TEMP,DB,-4.8,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200204,,1,TEMP,DB,3.19,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200204,,1,TEMP,DB,5.84,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200204,,1,TEMP,DB,8.72,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200204,,1,TEMP,DB,15.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200204,,1,TEMP,DB,-4.1,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200205,,1,TEMP,DB,3.6,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200205,,1,TEMP,DB,10.16,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200205,,1,TEMP,DB,13.15,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200205,,1,TEMP,DB,16.26,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200205,,1,TEMP,DB,22.2,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200206,,1,TEMP,DB,7.5,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200206,,1,TEMP,DB,13.7,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200206,,1,TEMP,DB,16.74,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200206,,1,TEMP,DB,19.88,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200206,,1,TEMP,DB,28.5,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200207,,1,TEMP,DB,8.5,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200207,,1,TEMP,DB,12.94,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200207,,1,TEMP,DB,16.36,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200207,,1,TEMP,DB,19.75,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200207,,1,TEMP,DB,28.2,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200208,,1,TEMP,DB,10.4,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200208,,1,TEMP,DB,13.76,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200208,,1,TEMP,DB,16.14,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200208,,1,TEMP,DB,18.49,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200208,,1,TEMP,DB,23.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200209,,1,TEMP,DB,0.8,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200209,,1,TEMP,DB,8.36,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200209,,1,TEMP,DB,10.55,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200209,,1,TEMP,DB,12.84,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200209,,1,TEMP,DB,22.5,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200210,,1,TEMP,DB,0.1,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200210,,1,TEMP,DB,4.83,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200210,,1,TEMP,DB,7.46,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200210,,1,TEMP,DB,10.1,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200210,,1,TEMP,DB,18.2,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200211,,1,TEMP,DB,3.61,oC,,XA
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200211,,1,TEMP,DB,6.27,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200211,,1,TEMP,DB,9.07,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200211,,1,TEMP,DB,20.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200211,,1,TEMP,DB,-4.4,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200212,,1,TEMP,DB,0.15,oC,,X
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200212,,1,TEMP,DB,2.6,oC,,XZ
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200212,,1,TEMP,DB,11.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200212,,1,TEMP,DB,-12,oC,,A
CHEM,Austria,AM,AT01,EA,0917,AIR,AM,4200,200212,,1,TEMP,DB,-2.32,oC,,XA
