SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,DAY,SPOOL,SUBST,LISTSUB,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,3.38,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,6.71,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,7.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,11.2,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,11.56,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,6.93,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,2.28,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,-0.64,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,0.64,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,9.84,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,23.39,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,12.56,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,1.06,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,10.21,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,15.11,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,0.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,1,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,15.6,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,14.92,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,15.19,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,12.4,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,2.75,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,4.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.62,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.87,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,5.02,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,10.2,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,10.36,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,13.06,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,15.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,8.55,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,10,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,0.3,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,0.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,16.65,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,15.12,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,15.7,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,12.02,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,-3.17,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,13.69,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,3.58,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,8.24,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,4.21,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,12.16,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,29.57,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,15.7,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,-5.21,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,-2.75,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,11.42,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,14.36,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,15.16,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,12.63,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200210,,1,TEMP,DB,8.13,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200211,,1,TEMP,DB,7.9,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200203,,1,TEMP,DB,10.85,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,4.87,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,13.22,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200207,,1,TEMP,DB,14.44,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200208,,1,TEMP,DB,15.17,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200211,,1,TEMP,DB,5.3,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200211,,1,TEMP,DB,6.49,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200212,,1,TEMP,DB,2.8,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200212,,1,TEMP,DB,3.72,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,15.15,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,15.65,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,12.45,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,7.87,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200211,,1,TEMP,DB,7.9,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,4.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,6.42,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,4.31,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,TEMP,DB,29.28,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,19.12,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200203,,1,TEMP,DB,2.81,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200203,,1,TEMP,DB,2.58,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200204,,1,TEMP,DB,4.93,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,16.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,15.9,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200211,,1,TEMP,DB,3.7,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,1.8,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200212,,1,TEMP,DB,2.98,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,2.65,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,7.5,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,11.7,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200208,,1,TEMP,DB,11.94,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,9.5,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200209,,1,TEMP,DB,13.14,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,8.75,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,2.75,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,2.23,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,5.61,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,4.65,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,18.5,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,16.9,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200211,,1,TEMP,DB,2.71,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,1.2,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,2.07,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,17.44,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,2.61,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,20.43,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,TEMP,DB,8.09,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,4.1,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,2.04,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,1.55,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,1.55,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200204,,1,TEMP,DB,5.27,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200205,,1,TEMP,DB,11.31,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,15.3,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200210,,1,TEMP,DB,9.7,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200211,,1,TEMP,DB,6.04,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200201,,1,TEMP,DB,1.97,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200202,,1,TEMP,DB,2.62,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,15.3,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200207,,1,TEMP,DB,15.1,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200208,,1,TEMP,DB,14.55,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200210,,1,TEMP,DB,7.7,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,1.17,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,1.25,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,12.11,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,15.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,9.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200211,,1,TEMP,DB,5.73,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200212,,1,TEMP,DB,2.46,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200201,,1,TEMP,DB,-14.14,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,15.54,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200204,,1,TEMP,DB,5.98,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,9.42,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200206,,1,TEMP,DB,6.27,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200207,,1,TEMP,DB,20.77,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,24.84,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,10.19,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200210,,1,TEMP,DB,7,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,0.87,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200212,,1,TEMP,DB,-11.62,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,1.6,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,1.66,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200205,,1,TEMP,DB,10.84,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200205,,1,TEMP,DB,13.73,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,13.92,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200206,,1,TEMP,DB,17.6,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200209,,1,TEMP,DB,8.1,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200210,,1,TEMP,DB,6.2,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200202,,1,TEMP,DB,2.56,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200202,,1,TEMP,DB,3.4,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200203,,1,TEMP,DB,8.48,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200203,,1,TEMP,DB,49.55,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200206,,1,TEMP,DB,11.1,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200207,,1,TEMP,DB,13.5,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200211,,1,TEMP,DB,6.73,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200212,,1,TEMP,DB,3.87,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,1.21,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,1.42,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,10.83,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200205,,1,TEMP,DB,16.2,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,14.01,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200206,,1,TEMP,DB,19.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200209,,1,TEMP,DB,6.8,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200210,,1,TEMP,DB,5.1,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200202,,1,TEMP,DB,-9.14,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200205,,1,TEMP,DB,13.04,oC,,X
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200208,,1,TEMP,DB,9.46,oC,,A
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,7.36,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200209,,1,TEMP,DB,23.96,oC,,Z
