SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,SPOOL,SUBST,LISTSUB,PRETRE,DETER,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,NH4N,DB,,SP,0.51,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,NO3N,DB,,IC,0.4,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,NTOT,DB,,IC,0.993,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,PH,DB,,TIE,5.2,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,PREC,DB,,,43,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201504,1,SO4S,DB,,IC,0.33,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,CA,DB,,AAF,0.11,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,CL,DB,,IC,0.83,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,COND,DB,,CN,1.44,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,DOC,DB,,,3.9,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,K,DB,,AAF,0.22,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,MG,DB,,AAF,0.08,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,,DB,,AAF,0.55,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,NH4N,DB,,SP,0.57,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,NO3N,DB,,IC,0.45,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,NTOT,DB,,IC,1.22,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,PH,DB,,TIE,5.2,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,PREC,DB,,,53,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201505,1,SO4S,DB,,IC,0.32,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,CA,DB,,AAF,0.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,CL,DB,,IC,0.73,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,COND,DB,,CN,1.24,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,DOC,DB,,,4.2,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,K,DB,,AAF,0.15,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,MG,DB,,AAF,0.07,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,,DB,,AAF,0.47,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,NH4N,DB,,SP,0.38,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,NO3N,DB,,IC,0.27,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,NTOT,DB,,IC,0.76,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,PH,DB,,TIE,5.1,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,PREC,DB,,,53,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201506,1,SO4S,DB,,IC,0.28,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,CA,DB,,AAF,0.16,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,CL,DB,,IC,0.81,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,COND,DB,,CN,1.5,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,DOC,DB,,,6.7,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,K,DB,,AAF,0.06,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,MG,DB,,AAF,0.07,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,,DB,,AAF,0.53,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,NH4N,DB,,SP,0.29,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,NO3N,DB,,IC,0.26,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,NTOT,DB,,IC,0.668,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,PH,DB,,TIE,4.8,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,PREC,DB,,,44,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201507,1,SO4S,DB,,IC,0.28,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,CA,DB,,AAF,0.39,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,CL,DB,,IC,1.05,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,COND,DB,,CN,1.98,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,DOC,DB,,,12,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,K,DB,,AAF,0.33,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,MG,DB,,AAF,0.12,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,,DB,,AAF,0.77,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,NH4N,DB,,SP,0.83,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,NO3N,DB,,IC,0.37,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,NTOT,DB,,IC,1.423,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,PH,DB,,TIE,5.2,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,PREC,DB,,,20,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201508,1,SO4S,DB,,IC,0.62,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,CA,DB,,AAF,0.15,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,CL,DB,,IC,0.33,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,COND,DB,,CN,1.56,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,DOC,DB,,,6.9,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,K,DB,,AAF,0.06,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,MG,DB,,AAF,0.04,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,,DB,,AAF,0.23,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,NH4N,DB,,SP,0.34,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,NO3N,DB,,IC,0.33,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,NTOT,DB,,IC,0.842,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,PH,DB,,TIE,4.7,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,PREC,DB,,,67,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201509,1,SO4S,DB,,IC,0.3,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,CA,DB,,AAF,0.57,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,CL,DB,,IC,3.05,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,COND,DB,,CN,3.52,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,K,DB,,AAF,0.21,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,MG,DB,,AAF,0.29,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,,DB,,AAF,1.79,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,NH4N,DB,,SP,0.39,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,NO3N,DB,,IC,0.61,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,NTOT,DB,,IC,1.51,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,PH,DB,,TIE,4.5,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,PREC,DB,,,2,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201510,1,SO4S,DB,,IC,0.48,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,CA,DB,,AAF,0.11,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,CL,DB,,IC,2.16,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,COND,DB,,CN,1.82,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,DOC,DB,,,6.2,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,K,DB,,AAF,0.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,MG,DB,,AAF,0.17,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,,DB,,AAF,1.31,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,NH4N,DB,,SP,0.15,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,NO3N,DB,,IC,0.17,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,NTOT,DB,,IC,0.471,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,PH,DB,,TIE,4.8,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,PREC,DB,,,53,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201511,1,SO4S,DB,,IC,0.19,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,CA,DB,,AAF,0.11,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,CL,DB,,IC,2.99,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,COND,DB,,CN,2.26,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,DOC,DB,,,2.9,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,K,DB,,AAF,0.11,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,MG,DB,,AAF,0.21,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,,DB,,AAF,1.72,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,NH4N,DB,,SP,0.15,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,NO3N,DB,,IC,0.26,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,NTOT,DB,,IC,0.36,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,PH,DB,,TIE,4.7,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,PREC,DB,,,145,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201512,1,SO4S,DB,,IC,0.27,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,CA,DB,,AAF,0.03,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,CL,DB,,IC,0.47,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,COND,DB,,CN,2.32,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,DOC,DB,,,1.5,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,K,DB,,AAF,0.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,MG,DB,,AAF,0.06,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,,DB,,AAF,0.39,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,NH4N,DB,,SP,0.21,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,NO3N,DB,,IC,0.47,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,NTOT,DB,,IC,0.76,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,PH,DB,,TIE,4.4,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,PREC,DB,,,23,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,PTOT,DB,,SP,0.002,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201601,1,SO4S,DB,,IC,0.37,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,CA,DB,,AAF,0.09,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,CL,DB,,IC,0.25,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,COND,DB,,CN,2.07,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,DOC,DB,,,2.1,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,K,DB,,AAF,0.12,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,MG,DB,,AAF,0.2,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,,DB,,AAF,1.64,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,NH4N,DB,,SP,0.16,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,NO3N,DB,,IC,0.25,mg/l,,
